# HoopsValue - REAL 2026 free-agency signings (actual reported deals).
# This is the GROUND TRUTH we score the model against. It is NOT fed into the
# projection (that stays the model's pure guess) — scripts/compare_signings.py
# joins each row to the model's projection so we can track accuracy live as the
# offseason unfolds.
#
#   player      = signed player (match the model's name; aliases handled in the script)
#   team        = 3-letter abbr (blank if unknown / not relevant)
#   years       = contract length
#   total_M     = total guaranteed $ in millions
#   yr1_M       = FIRST-YEAR salary in $M (what the model predicts; = total/years with
#                 ~5% raises, or the flat figure for a 1-yr deal). The comparison uses this.
#   type        = resign | ufa | rfa | extension | unknown
#   signed_date = YYYY-MM (when reported)
#   source      = where it was reported
#   note        = free text
#
# Add a row each time a real signing is reported. Lines starting with # are ignored.
# Verified 2026-08-20 (deals through August 20, 2026; adversarial web-search rounds:
# every row below confirmed by 2+ independent sources - HoopsRumors/ESPN/RealGM/
# Spotrac/NBA.com transaction log/team releases).
player,team,years,total_M,yr1_M,type,signed_date,source,note
Day'Ron Sharpe,BKN,2,20,9.8,resign,2026-06,ESPN,2yr/$20M re-sign (declined $6.25M option; yr2 team option); yr1 est
Josh Minott,BKN,2,9,4.4,resign,2026-06,ESPN,2yr/$9M re-sign (yr2 team option); yr1 est
Ron Harper Jr.,BOS,4,13.7,3.15,resign,2026-07,SalarySwish (4yr/$13;704;229; 2026-27 base $3;150;752); Hoop,corrected via Spotrac verify: Record reflects the SUPERSEDED initial report (3yr/$9M). Boston declined his $2.
Jaylen Clark,MIN,3,10,3.09,rfa,2026-07,Spotrac / Hoops Rumors: 3yr/$10M; avg $3.33M; 2026-27 base $,corrected via Spotrac verify: yr1; years; and total all wrong. Actual deal is 3yr/$10M (not 2yr/$5M); 2026-27 
Julian Champagnie,SAS,3,45,15.35,resign,2026-07,SalarySwish (year-by-year; confirmed on two reads) / NBA.com,corrected via Spotrac verify: Deal is FRONT-LOADED/descending; not ascending: 2026-27 $15.35M; 2027-28 $15.0M;
Kristaps Porziņģis,GSW,2,40,20,resign,2026-07,SalarySwish (year-by-year: $20.0M/$20.0M) / NBA.com / Washin,corrected via Spotrac verify: Marginal miss. Deal is FLAT $20M/$20M (yr2 player option; only $3M/yr guaranteed
Kevin Huerter,DET,3,27,8.33,resign,2026-07,Spotrac (2026-27 base $8;333;333); ESPN / Detroit News (3yr/,corrected via Spotrac verify: Recorded $9.0M is the AAV ($27M/3); not the actual 2026-27 first-year salary. Sp
Landry Shamet,NYK,4,24,5.6,resign,2026-06,ESPN,4yr/$24M re-sign with Knicks; yr1 est
Jusuf Nurkić,UTA,2,22,10.7,ufa,2026-06,ESPN,2yr/$22M with Utah (Klutch/Rich Paul); yr1 est
Harrison Barnes,SAS,1,8,8.0,resign,2026-06,ESPN,1yr/$8M re-sign with San Antonio
Robert Williams III,POR,3,44,14.0,resign,2026-06,ESPN,3yr/$44M re-sign with Portland; yr1 est
Jock Landale,ATL,1,14.1,14.1,ufa,2026-07,AP (via Las Vegas Sun) / NBA.com / SalarySwish: 1yr/$14;100;,corrected via Spotrac verify: yr1 and total are drastically understated. Actual deal is 1yr/$14.1M (AP reporte
Simone Fontecchio,MIA,1,2.63,2.63,resign,2026-07,Sportando / Yahoo / Hoops Rumors / Spotrac: Heat re-signed F,corrected via Spotrac verify: Recorded 2yr/$16M with yr1 $7.81M is badly off. Fontecchio re-signed with Miami 
Keon Ellis,BKN,2,18,8.8,ufa,2026-06,ESPN,2yr/$18M with Brooklyn (mutual option fully guarantees); yr1 est
Ousmane Dieng,MIL,3,17.5,5.6,resign,2026-06,ESPN,3yr/$17.5M re-sign with Milwaukee (yr3 team option; declined QO); yr1 est
Zach Collins,CHI,2,17,8.3,resign,2026-06,ESPN,2yr/$17M to stay in Chicago; yr1 est
Luke Kennard,PHX,2,13,6.3,ufa,2026-06,ESPN,2yr/$13M with Phoenix (yr2 player option); yr1 est
Precious Achiuwa,SAC,2,11.23,5.48,resign,2026-07,SalarySwish ($5;477;000 for 2026-27) / NBA.com (2yr deal),corrected via Spotrac verify: Marginal overage: actual 2026-27 first-year salary is $5;477;000 ($5.48M) on a 2
Tim Hardaway Jr.,MIA,1,6.5,6.5,ufa,2026-06,ESPN,1yr/$6.5M with Miami (from Denver)
Bones Hyland,MIN,1,2.7,2.7,ufa,2026-07,Hoops Rumors / Star Tribune / Canis Hoopus: one-year veteran,corrected via Spotrac verify: Years and total are wrong: recorded as 2yr/$5M; but the actual deal is a ONE-yea
Branden Carlson,POR,1,2.5,2.5,ufa,2026-07,Blazer's Edge / NBA.com (Blazers) / HoopsHype / KSL: Portlan,corrected via Spotrac verify: Wrong team; type; and length. Carlson did NOT re-sign with OKC — he signed a 1yr
Norman Powell,CHI,2,44.08,21.5,ufa,2026-07,Spotrac + SalarySwish (2026-27 = $21;500;000; 2yr total $44;,corrected via Spotrac verify: Marginal overstatement. Spotrac and SalarySwish both list 2026-27 = $21;500;000 
John Collins,DET,3,51,17,ufa,2026-07,Spotrac (id 23614); NBA.com 'John Collins; Pistons agree to ,corrected via Spotrac verify: Actual 2026-27 salary is $17.0M (flat structure: Yr1 fully guaranteed; Yrs 2-3 n
Mitchell Robinson,BOS,3,47.4,15.0,ufa,2026-07,ESPN,3yr/$47.4M with Boston (non-tax MLE; yr3 player option); yr1 est
Quentin Grimes,LAL,4,60,14.0,ufa,2026-07,ESPN,4yr/$60M with the Lakers (yr4 player option); yr1 est
Dean Wade,PHI,4,39,9.1,ufa,2026-06,ESPN,4yr/$39M with Philadelphia (yr4 partial guarantee); yr1 est
Collin Sexton,LAL,2,19,9.3,ufa,2026-07,ESPN,2yr/$19M with the Lakers (yr2 player option); yr1 est
Sandro Mamukelashvili,LAL,4,52,13,ufa,2026-07,NBA.com / Silver Screen and Roll / Spotrac: 4yr/$52M; avg $1,corrected via Spotrac verify: Total and yr1 are badly wrong. Actual deal is 4yr/$52M (not $22M) with a 2029-30
Marcus Smart,HOU,2,13,6.3,ufa,2026-07,ESPN,2yr/$13M with Houston (declined $5.4M option; yr2 player option); yr1 est
Moritz Wagner,BKN,2,19,9.3,ufa,2026-07,ESPN,2yr/$19M with Brooklyn (mutual option); yr1 est
Jevon Carter,ORL,1,3.51,3.51,ufa,2026-07,Spotrac (id 26998); HoopsHype 'Jevon Carter to return to Mag,corrected via Spotrac verify: Wrong team. Chicago WAIVED Carter in Feb 2026 (he had opted into his $6.8M Bulls
Nikola Vučević,ORL,1,3.9,3.9,ufa,2026-07,ESPN,1yr/$3.9M with Orlando; yr1 est
Ariel Hukporti,PHI,1,3.4,3.4,ufa,2026-07,Hoops Rumors ('Sixers Sign Ariel Hukporti To One-Year Contra,corrected via Spotrac verify: Wrong team; figure; and years. Hukporti did NOT re-sign with the Knicks; he sign
Mike Conley,BOS,1,3.88,3.88,ufa,2026-07,NBA.com / Boston Globe / ESPN (Conley-Celtics 1yr/$3.88M; si,corrected via Spotrac verify: Contract TYPE is wrong: recorded as 'resign' but Conley signed with Boston as an
Walker Kessler,LAL,4,130,29.0,rfa,2026-07,ESPN,4yr/$130M sign-and-trade to the Lakers (was RFA); yr1 est
Tobias Harris,SAS,2,31,15.1,ufa,2026-07,ESPN,2yr/$31M with San Antonio (non-tax MLE); yr1 est
Kelly Oubre Jr.,IND,2,17,8.3,ufa,2026-07,ESPN,2yr/$17M with Indiana (fully guaranteed); yr1 ~$8.25M per report
Jaxson Hayes,UTA,2,12,5.9,ufa,2026-07,ESPN,2yr/$12M with Utah (yr2 team option); yr1 est
Alijah Martin,TOR,2,4.8,2.3,resign,2026-07,ESPN,2yr/$4.8M RFA re-sign with Toronto (off two-way); yr1 est
Kobe Sanders,LAC,4,11.2,2.7,resign,2026-07,ESPN,4yr/$11.2M re-sign with the Clippers (TO declined; first 2 yrs gtd); yr1 est
Bogdan Bogdanović,HOU,1,3.6,3.6,ufa,2026-07,ESPN,1yr vet-minimum with Houston (~$3.6M CBA figure; LAC declined $16M TO)
Khris Middleton,WAS,3,17.6,5.59,ufa,2026-07,ESPN,"3yr/$17.6M S&T from Dallas; yr1 $5.59M fully gtd (yr2 partial, yr3 non-gtd)"
Quinten Post,MEM,3,30,9,rfa,2026-07,SalarySwish (2026-27 base $9;000;000; 3yr/$30.015M; $9M gtd),corrected via Spotrac verify: Team/total/type all correct; but yr1 is overstated. He signed a 3yr/$30.015M off
Kevon Looney,LAL,1,3.88,3.88,ufa,2026-07,Spotrac,1yr vet-minimum with the Lakers ($3876529)
DeAndre Jordan,NOP,1,3.88,3.88,ufa,2026-07,Spotrac,1yr vet-minimum with New Orleans
Larry Nance Jr.,IND,1,4,4,ufa,2026-07,ESPN,1yr/$4M with Indiana
Trey Lyles,MIN,1,3.88,3.88,ufa,2026-07,ESPN,1yr/$3.88M with Minnesota
Josh Okogie,UTA,2,12,5.9,ufa,2026-07,ESPN,2yr/$12M with Utah; yr1 est
Tari Eason,HOU,5,81.5,14.05,rfa,2026-07,SalarySwish year-by-year (2026-27 base $14;053;356; total $8,corrected via Spotrac verify: Recorded $14.75M assumes ~5% raises ($81.5M/5.5); actual 2026-27 base is $14.05M
Gary Trent Jr.,MIL,4,64,14.85,resign,2026-07,multi,4-yr $64M re-sign (NBA.com)
Rui Hachimura,LAC,2,28,13.66,ufa,2026-07,multi,2-yr $28M (from Lakers)
Jordan Miller,LAC,3,15.3,4.85,resign,2026-07,multi,3-yr $15.3M re-sign (NBA.com roundup card)
Anfernee Simons,PHI,2,12.25,6.12,ufa,2026-07,multi,2-yr $12;247;178; player option yr2; yr1 ~$6.12M
De'Anthony Melton,GSW,2,11,5.37,resign,2026-07,multi,2-yr $11M re-sign (NBA.com roundup card)
Ziaire Williams,LAL,1,3,3,ufa,2026-07,ESPN / Shams Charania / NBC Sports (Lakers add Ziaire Willia,corrected via Spotrac verify: TEAM is wrong: recorded BKN; but Williams signed with the LOS ANGELES LAKERS. Br
Mo Bamba,UTA,2,7.21,3.51,resign,2026-07,SalarySwish ($3;506;659; min-salary exception; $0 guaranteed,corrected via Spotrac verify: Recorded $2.44M is the CAP HIT (2-year vet-minimum reimbursed figure); not the a
Javonte Green,DET,1,3.9,3.9,resign,2026-07,multi,1-yr $3.9M re-sign (NBA.com roundup card)
Kyle Anderson,TOR,1,3.9,3.9,ufa,2026-07,multi,1-yr $3.9M (NBA.com roundup card)
Jordan Clarkson,NYK,1,3.9,3.9,resign,2026-07,multi,1-yr $3.9M re-sign
Andre Drummond,NYK,1,3.9,3.9,ufa,2026-07,multi,1-yr signing; amount not on NBA.com; est vet minimum ~$3.9M
Tyus Jones,DEN,1,3.6,3.6,resign,2026-07,multi,1-yr re-sign; Spotrac shows reduced figure; est vet minimum ~$3.6M
Jonathan Isaac,ORL,1,3.52,3.52,resign,2026-07,multi,1-yr $3;524;115 re-sign
Jordan McLaughlin,SAS,1,3.3,3.3,resign,2026-07,multi,1-yr re-sign; amount not on NBA.com; est minimum
Kenrich Williams,OKC,1,5.5,5,resign,2026-07,SalarySwish (1yr/$5;500;000; 2026-27 salary $5;000;000; sign,corrected via Spotrac verify: yr1 is badly understated. OKC declined his ~$7.2M team option; then re-signed hi
Thomas Bryant,CLE,1,3.52,3.52,resign,2026-07,SalarySwish (base $3;524;115; cap hit $2;449;421; Minimum Sa,corrected via Spotrac verify: yr1 understated. He re-signed with Cleveland on a 1-year veteran-minimum deal: a
Marvin Bagley III,DEN,1,3.51,3.51,ufa,2026-07,SalarySwish/Spotrac (1yr/$3;506;659; cap hit $2;449;421),corrected via Spotrac verify: Understated. Actual 1-year Nuggets deal is a $3;506;659 vet-minimum salary (cap 
Charles Bassey,GSW,1,2.85,2.85,resign,2026-07,Spotrac (id 74160); Hoops Rumors 'Warriors Sign Charles Bass,corrected via Spotrac verify: Actual 2026-27 base salary is $2;845;883 (~$2.85M); recorded $2.3M understates i
Rayan Rupert,PHI,2,1.2,0.59,unknown,2026-07,multi,Two-way contract with 76ers; estimated two-way scale. July 3
Kam Jones,MIL,2,1.36,0.68,two-way,2026-07,Hoops Rumors / HoopsHype (two-way deal; 7/4/26). SalarySwish,corrected via Spotrac verify: Two-way contract. Standard full-season 2026-27 two-way salary is $678;882 (~$0.6
Pat Spencer,PHX,1,0.68,0.68,two-way,2026-07,Spotrac ($678;882; $91K guaranteed); Hoops Rumors/Arizona Sp,corrected via Spotrac verify: Actual deal is a TWO-WAY contract; 1 year; $678;882 (~$0.68M) with Phoenix; not 
Jamir Watkins,WAS,1,0.68,0.68,two-way,2026-07,SalarySwish ($678;882; 1yr two-way) / Hoops Rumors (re-signe,corrected via Spotrac verify: Structural errors: this is a 1-year TWO-WAY contract (type recorded as 'unknown'
Kobe Brown,IND,1,0.6,0.6,unknown,2026-07,multi,two-way (~$0.6M slot) (Jul 9 official)
Isaiah Hartenstein,OKC,3,75,23.15,resign,2026-07,Spotrac,"OKC declined his $28.5M team option then re-signed him to a NEW 3yr/$75M deal; yr1 $23.15M (a genuine signing, not a pure extension)"
LeBron James,PHI,2,7.95,3.88,new,2026-07-26,Spotrac transaction log + ESPN (chose PHI after free agency sweepstakes),vet-min 1+1 with 2027-28 player option $4.07M; 15% trade bonus; cannot be traded until 12/15/26
Kentavious Caldwell-Pope,PHI,1,3.9,3.9,new,2026-07-26,HoopsRumors + ESPN (agreed after MEM buyout 7/25; pending waiver clearance),opted into $21.6M with MEM then buyout; PHI deal agreed but not official as of 7/28; promoted per master-roster doctrine
Jett Howard,DAL,1,0.679,0.679,two-way,2026-07-20,HoopsRumors + Mavs release,one-season two-way ($678882); DAL waived Tyler Smith for the slot; ORL had declined his rookie option Oct 2025
Arthur Kaluma,LAL,1,0.68,0.68,two-way,2026-07-21,HoopsRumors + Lakers release,earned two-way after breakout Summer League; LAL waived Peter Suder for the slot
Jalen Slawson,IND,1,0.68,0.68,two-way,2026-07-22,Pacers release + HoopsRumors,RFA signed his two-way qualifying offer ($91K partial guarantee)
Jalen Wilson,ATL,1,0.68,0.68,two-way,2026-07-22,Hawks release + HoopsRumors,one-year two-way (3 years of service caps two-way length at one season)
David Jones-Garcia,SAS,1,0.68,0.68,two-way,2026-07-22,NBA transaction feed + Spurs release,two-way RFA signed his qualifying offer ($91K partial guarantee)
Moussa Cisse,DAL,2,4.76,2.185,resign,2026-07-19,ESPN + HoopsRumors,DAL matched NYK 2yr minimum offer sheet ($2185116 / $2571895); yr1 50% gtd rising Oct 1; yr2 non-gtd
Isaiah Crawford,HOU,4,11.27,2.45,resign,2026-07-23,HoopsRumors + Rockets release,converted two-way to 4yr vet-min via Non-Bird; all non-guaranteed at signing ($1.15M partial); final year team option
Jae'Sean Tate,HOU,1,3.07,3.07,resign,2026-07-23,HoopsRumors + Spotrac,1yr vet min ($3066143 actual / $2449421 cap hit); $1.04M partial guarantee; waived trade veto
Jaron Pierre Jr.,NOP,1,0.679,0.679,two-way,2026-07-24,Pelicans release + Marc Stein,No.58 pick in the 2026 draft signs his two-way ($678882)
John Tonje,POR,2,1.36,0.679,two-way,2026-07-25,Blazers release + HoopsHype,two-YEAR two-way ($678882 in 26-27)
Matisse Thybulle,LAL,1,3.3,3.3,new,2026-07-27,HoopsRumors + ESPN (McMenamin),1yr vet min fully guaranteed ($3.3M actual / $2.45M cap hit)
Spencer Jones,DEN,2,11.75,6,resign,2026-07-27,ESPN + HoopsRumors,DEN matched OKC taxpayer-MLE offer sheet: $6M / $5.75M fully guaranteed
Karim Lopez,MEM,4,18.37,3.75,new,2026-07-29,Grizzlies release + Spotrac,rookie scale for No.21 pick (rights via DET draft night); $3746760 yr1; first two years guaranteed; yrs 3-4 team options
Draymond Green,GSW,1,27.68,27.68,resign,2026-07-30,ESPN (Shams) + Warriors release,declined his $27678571 player option 6/29 to open cap room then re-signed for the identical figure 1yr; expiring
Mario Hezonja,CLE,1,2.85,2.85,new,2026-07-31,HoopsRumors + Cavs release,NBA return from Real Madrid (ACB MVP); vet min non-gtd until ~Nov 15 ($2.85M actual / $2.45M cap hit); last NBA team POR 2019-20
Gary Payton II,GSW,1,3.9,3.9,resign,2026-08-01,ESPN (Shams) + Marc Stein,1yr vet min ($3.9M actual / $2449421 cap hit); 7th season with GSW
Jeremy Sochan,POR,1,2.63,2.63,new,2026-08-02,HoopsRumors + Spotrac,1yr vet min standard deal NON-guaranteed (Exhibit 9 knee language; $2625627 if he makes the roster); camp battle after title season as NYK reserve
Trey Jemison III,TOR,1,0.679,0.679,two-way,2026-08-04,NBA transaction feed + HoopsRumors,two-way ($678882)
Dillon Mitchell,BOS,1,0.68,0.68,two-way,2026-08-05,HoopsRumors,two-way contract
Jamarion Sharp,LAC,1,0.68,0.68,two-way,2026-08-07,HoopsRumors,two-way; LAC waived Sean Pedulla to clear slots
Jalen Pickett,LAC,1,0.679,0.679,two-way,2026-08-12,HoopsRumors,two-way; DEN had declined his $2.41M team option 6/29
Bradley Beal,LAC,2,13.2,6.42,resign,2026-08-13,ESPN (Shams) + Spotrac,2yr $13.17M via Non-Bird (declined $5.62M PO in June); $9.42M guaranteed; yr2 $6.75M player option w/ $3M partial
Braden Smith,IND,1,0.68,0.68,two-way,2026-08-17,Pacers release + HoopsRumors,No.38 pick (via CHI draft-night trade) signs two-way; IND waived Ethan Thompson for the slot
Sean Pedulla,HOU,2,1.39,0.68,two-way,2026-08-17,NBA transaction log + HoopsHype,two-YEAR two-way after LAC waived him 8/7; G League ROY
Haywood Highsmith,PHX,1,3.07,3.07,resign,2026-08-17,ESPN transactions + HoopsRumors,waive-and-re-sign restructure (waived 8/12; ~$11M tax savings): 1yr vet min $3066143 actual / $2449421 cap hit; Exhibit 3 knee clause
Trendon Watford,NOP,1,2.85,2.85,new,2026-08-17,HoopsRumors,1yr vet min; PHI had declined his $2.8M team option in June
Malik Dia,NOP,1,0.68,0.68,two-way,2026-08-18,HoopsRumors + HoopsHype,two-way; NOP waived Hunter Dickinson from his two-way the same day
# ── Verified 2026-08-18 round: events checked but NOT rows ─────────────────────
# Extensions (start 2027-28, no new 2026-27 salary, so not scoreable as signings):
#   Jordan Walsh BOS 3yr/$15.75M (7/23, yr3 team option); Naji Marshall DAL
#   3yr/$52.2M fully gtd (8/2); Dillon Brooks PHX 3yr/$73M fully gtd (8/8).
# Exhibit 9/10 camp deals ($0 guaranteed, cut-before-season default; a row here
#   would score as a fake $0 signing): Oscar Tshiebwe HOU 7/24; Julian Phillips
#   HOU 7/24; Harrison Ingram UTA 7/25; Kobe Bufkin NOP 7/25 (ex-lottery, $2.54M
#   if kept); Christian Koloko NOP 7/28; Milos Uzan BOS 7/15; Jeremy Sochan is a
#   row above (standard non-gtd deal, not a camp invite); Caleb Houstan NOP 8/4;
#   Andre Jackson Jr. TOR 8/4; Lonnie Walker IV DEN 8/5; Terrell Brown Jr. UTA
#   8/6; Alondes Williams WAS 8/7; Taelon Peter SAS 8/7 (IND waived him 7/20);
#   Kobe Stewart CHA 8/7; Yuki Kawamura LAC 8/9; Ezra Ausar MIA 8/10; Ian
#   Schieffelin MIA 8/10; Malachi Smith TOR 8/17; Nick Pringle BKN 8/17.
#   Donovan Atwell withdrew from his CHI Exhibit 10 to return to Texas Tech 8/17.
# Trades moving 2026-27 salary: Dort (OKC) + Nembhard (DAL, $2150917) to ATL /
#   Risacher to DAL / three 2nds + $17.7M TPE to OKC (7/19, official); Johni
#   Broome PHI to LAC (7/28, already reflected in rosters); Dennis Schroder
#   ($14.8M) + cash CLE to CHA for Tre Mann 8/14 - FOLDED 8/19 into the
#   FIVE-TEAM Watson deal (CLE/DEN/LAC/WAS/CHA): Watson S&T to CLE (row
#   below), Strus ($16.66M) CLE to LAC, Whitmore ($5.46M) WAS to CLE, Mann
#   rerouted to WAS, Reese two-way WAS to DEN and waived; DEN got CLE 2031
#   1st + SAC 2032 2nd, dodging ~$210M in tax.
# Waives/guarantee events: Dalen Terry waived PHI 7/26 ($2.6M non-gtd, no dead
#   money); KCP buyout MEM 7/25 (gave back ~$3.88M, then signed PHI row above);
#   Hunter Dickinson waived NOP 8/18 (two-way); Vit Krejci POR 26-27 $2667944
#   hit $250K partial guarantee by passing Aug 1 roster date; Cam Christie LAC
#   $2.3M guarantee date pushed to Oct 15.
Caleb Love,PHI,1,0.68,0.68,two-way,2026-07-05,ESPN (Shams) + Sixers release,"two-way signed 7/5/26 (agreed 7/3); backfilled in the 8/20 round - missed by the July verification"
Peyton Watson,CLE,4,88,20.4,new,2026-08-19,ESPN (Shams) + HoopsHype (Scotto),"sign-and-trade from DEN in the five-team deal: 4yr $88M, player option + 7.5% trade kicker; yr1 ~$20.4M est (~5% raises); hard-caps CLE at apron 1"
James Harden,CLE,3,97,29.9,resign,2026-08-20,ESPN (Shams) + HoopsRumors,"agreed 8/20: 3yr $97M (2028-29 player option, trade kicker) after declining his $42.3M PO in June; yr1 ~$29.9M est at 8% Bird raises; held until the Watson trade cleared"
