agency,website,hq,phone,email,status
Glushon Sports Management,http://glushonsm.com,"16255 Ventura Blvd, #950, Encino, CA 91436",(310) 207-7722,info@glushonsm.com,found
Goodwin Management Group,http://goodwinsports.com/,"121 Lakeside Ave, Suite B, Seattle, WA 98122",206-381-8900,gsm.info@goodwinsports.com,found
GSL,https://www.gslsportsgroup.com/,"Livingston/Florham Park, New Jersey area",,info@gslsportsgroup.com,partial
Hazan Sports Management Group Inc,https://hazansports.com,,,hazansportsmgmt@gmail.com,partial
IAM Sports,https://iamsports-ent.com/,"Greater Los Angeles, CA (no street address published on official site)",(310) 777-7500,,partial
Icona Agency,https://www.iconaagency.com/,"Los Angeles, CA",,,found
Impact Sports Management,,"Boca Raton, FL",,,partial
Imperative Sports Consultants,,,,,independent
Independent Sports and Entertainment,https://iseworldwide.com,"Los Angeles, CA (2029 Century Park East, Los Angeles, CA 90067); additional offices in Atlanta, Chicago, Indianapolis",,,partial
Innovate Sports,https://www.innovatesportsgroup.com/,"Los Angeles, CA (metro area; specific street address not publicly published)",,info@innovatesportsgroup.com,partial
Janis Porzings,,,,,independent
Jerry Dianis,,,,,independent
Klutch Sports Management,https://klutchgroup.com,"Los Angeles, CA (metro)",,,partial
LAMF Sports Management,https://lamfsports.com/,"West Hollywood / Los Angeles, CA (additional offices in Houston, TX and Pittsburgh, PA)",,info@lsm.la,found
Landmark Sports Agency,http://www.thelandmarksportsagency.com/,"El Segundo, CA (881 N Park View Dr, Ste 100, El Segundo, CA 90245)",(310) 966-4101,,found
Life Sports Agency,https://lifesportsagency.com/,"Los Angeles, CA — 2029 Century Park East, Suite 400, Los Angeles, CA 90067",(424) 281-2070,info@lifesportsagency.com,found
Lifestyle Sports Agency,https://lifestylesportsagency.com/,"Atlanta, GA",,LifeStyle@LifeStyleSportsAgency.com,partial
Lift Sports Management,https://liftsm.com/,"New York, NY — 77 Water St, New York, NY 10005 (per business directories; site does not publish address)",,generalinquiries@liftsm.com,found
Maz Sport Agency,https://mazsportagency.com/,"99 Boulevard de la Reine, 78000 Versailles, France",,contact@mazsportagency.com,found
Mike Conley Sr,,,,,independent
NEXT Sports,https://next-sportsagency.com/,"Atlanta, GA (metro area)",,,found
Octagon Athlete Representation,https://www.octagon.com/,"Corporate HQ: Stamford, CT (290 Harbor Drive, Stamford, CT 06902). New York office: 100 W 33rd Street, New York, NY 10001","+1 212 883 4751 (New York office, per Contact page)",,found
On Time Agency,https://ontimeagencygroup.com/,"Atlanta, GA",(678) 545-2924,info@ontimeagencygroup.com,found
Pensack Sports Management,https://www.pensacksports.com/,"Bay Area, California, USA",,info@pensacksports.com,partial
PNW Sports Group,https://pnwsportsgroup.com/,"Vancouver, BC, Canada",,info@pnwsportsgroup.com,found
Prather Sports,https://prathersports.com/,"Decatur, GA (3564 Wesley Chapel Rd, Suite E-232, Decatur, GA 30034)",678.776.9972,,found
Priority Sports & Entertainment,https://prioritysports.biz,"325 N. La Salle Dr., Suite 650, Chicago, IL 60654",(312) 664-7700,,found
ProMondo Sports,https://promondosports.com/,"Minneapolis, Minnesota (additional offices in Des Moines, IA and Chicago, IL)",,,partial
PRP,https://prp-lv.com/,"Las Vegas, NV (10845 Griffith Peak Drive, Suite 520, Las Vegas, NV 89135)",,,partial
RBA Sports,https://rbasports.com/,"New York, NY (Basketball City @ Pier 36)",,hello@rbasports.com,found
Rival Sports Group,http://www.rivalsportsgroup.com/,"Beverly Hills, CA (secondary office in Calabasas, CA)",,,partial
Rize Management,https://rizemanagement.com/,"Los Angeles, CA (Marina del Rey area)",,info@rizemanagement.com,found
Roc Nation Sports,https://www.rocnation.com/sports/,"New York, NY (1411 Broadway, New York, NY 10018/10019)",,info@rocnation.com,found
Rosenhaus Sports,https://www.rosenhaussports.com/,"3921 Alton Road #440, Miami Beach, FL 33140",,,found
Saga Sports,https://sagasportsmanagement.com/,,,sagasp@aol.com,partial
Shetellia Riley Irving,,,,,independent
SIG Sports,https://sigsports.com/,"Gaithersburg, MD (506 Main St, Ste 210, Gaithersburg, MD 20878)",,hr@sigsports.com,found
Sports International Group,https://sigsports.com/,"Gaithersburg, MD (506 Main St, Ste 210, Gaithersburg, MD 20878)",(240) 632-9727,hr@sigsports.com,found
Team Entertainment,https://www.teamentertainmentsports.com/,Maryland (no specific city/street published on firm site),,,partial
The Neustadt Group,,"Rockville, MD",,,partial
Thirty Five Ventures,https://www.thirtyfiveventures.com (redirects to https://35v.tv),"New York, NY",,,found
Thread Sports Management,https://www.threadsm.com/,"Toronto, ON, Canada and Miami, FL (dual offices)",,,found
Unique Sports Management International,https://uniquesportsmanagement.com/,"Boca Raton, FL 33431 (also office in Melville, NY 11747)",,info@uniquesportsmanagement.com,found
UNLTD Sports Group,https://www.unltdsports.com/,,,,partial
Up Tempo Management,,,,,partial
Valor Sports & Entertainment,https://valorsportsagency.com/,,,inquiries@valorsportsagency.com,partial
VaynerSports,https://vaynersports.com/,"New York, NY (10 Hudson Yards, FL25, New York, NY 10001); additional offices in LA, Chicago, Dallas",+1 646-653-0540,info@vaynersports.com,found
Verus Management Team,https://verusteam.com/,"Cleveland, OH",,,partial
Wasserman,https://www.teamwass.com,"10900 Wilshire Blvd, Suite 1200, Los Angeles, CA 90024",(310) 407-0200,info@teamwass.com,found
WME Sports,https://www.wmeagency.com,"9601 Wilshire Blvd, Beverly Hills, CA 90210",(310) 285-9000,,found
Young Money APAA Sports & Entertainment,https://www.youngmoneyapaasports.com/,"Tampa, FL (own site); directories also list Dallas, TX)",,,found
Zucker International,,,,,partial
