# HoopsValue (private) - manual agent/agency overrides.
# The base file data/player_agents.csv is generated by scripts/build_agent_db.py
# (HoopsHype). For any player listed here, these rows REPLACE that player's
# scraped agents entirely - so you can fix a wrong agent, drop a bad one, add the
# real one(s), or blank a player (a single row with an empty agent clears them).
#
# Multi-agent: add one row per agent to give a player several representatives.
# Columns:  name,agent,agency,source,as_of
#   name   = player display name in the app's spelling (accents optional).
#   agent  = full agent name.   agency = agency name (keep spelling consistent).
#   source = where the correction came from.   as_of = optional yyyy-mm.
# Lines starting with # are ignored.
name,agent,agency,source,as_of
Buddy Boeheim,Sam Permut,Roc Nation Sports,override:accuracy,2026-06
Dylan Harper,Drew Gross,WME Sports,override:accuracy,2026-06
Gradey Dick,Bill Duffy,WME Sports,override:accuracy,2026-06
Gradey Dick,David Mondress,WME Sports,override:accuracy,2026-06
Gradey Dick,Drew Gross,WME Sports,override:accuracy,2026-06
Gradey Dick,Isiah Turner,WME Sports,override:accuracy,2026-06
Isaiah Stewart,Drew Gross,WME Sports,override:accuracy,2026-06
Ron Harper Jr,Drew Gross,WME Sports,override:accuracy,2026-06
Tyson Etienne,Drew Gross,WME Sports,override:accuracy,2026-06
# Yann Balikouzou is now at Lift Sports Management (HoopsHype said ISE):
Adama-Alpha Bal,Yann Balikouzou,Lift Sports Management,override:accuracy,2026-06
Killian Hayes,David Bauman,Independent Sports and Entertainment,override:accuracy,2026-06
Killian Hayes,Yann Balikouzou,Lift Sports Management,override:accuracy,2026-06
Moussa Cisse,Yann Balikouzou,Lift Sports Management,override:accuracy,2026-06
Noa Essengue,Yann Balikouzou,Lift Sports Management,override:accuracy,2026-06
Pacome Dadiet,Yann Balikouzou,Lift Sports Management,override:accuracy,2026-06
# Jarrett Allen: fill Derrick Powell's blank agency (Gersh Sports, ex-Tandem):
Jarrett Allen,Derrick Powell,Gersh Sports,override:accuracy,2026-06
Jarrett Allen,Maxwell Wiepking,Gersh Sports,override:accuracy,2026-06
# Ja Morant: left Lift (June 2025), now advisory firm ILOC, effectively self-represented:
Ja Morant,Self-represented,,override:accuracy,2026-06
# Ace Bailey: unrepresented his rookie year, signed Rich Paul / Klutch May 2026:
Ace Bailey,Rich Paul,Klutch Sports Management,override:accuracy,2026-06
# --- mid-tier cross-check fixes (ranks 111-260, 2026-06-12) ---
# Kevin Bradbury moved REP1 -> Lift Sports Management (2023), bringing his clients:
Cam Christie,Kevin Bradbury,Lift Sports Management,override:accuracy,2026-06
Hunter Sallis,Daniel Frank,Lift Sports Management,override:accuracy,2026-06
Hunter Sallis,Kevin Bradbury,Lift Sports Management,override:accuracy,2026-06
Max Christie,Kevin Bradbury,Lift Sports Management,override:accuracy,2026-06
Max Christie,Lacy LaFour,Lift Sports Management,override:accuracy,2026-06
PJ Washington,Kevin Bradbury,Lift Sports Management,override:accuracy,2026-06
PJ Washington,Paul Washington,REP1,override:accuracy,2026-06
Robert Williams,Kevin Bradbury,Lift Sports Management,override:accuracy,2026-06
TyTy Washington,Kevin Bradbury,Lift Sports Management,override:accuracy,2026-06
Tyus Jones,Kevin Bradbury,Lift Sports Management,override:accuracy,2026-06
# Rich Beda is a CAA agent, not WME (corroborated by Woj naming "Richie Beda of CAA"):
Devin Vassell,Andrew Morrison,Creative Artists Agency,override:accuracy,2026-06
Devin Vassell,Mitch Nathan,Creative Artists Agency,override:accuracy,2026-06
Devin Vassell,Rich Beda,Creative Artists Agency,override:accuracy,2026-06
Johni Broome,Rich Beda,Creative Artists Agency,override:accuracy,2026-06
Richaun Holmes,Austin Brown,Creative Artists Agency,override:accuracy,2026-06
Richaun Holmes,Maxwell Saidman,Creative Artists Agency,override:accuracy,2026-06
Richaun Holmes,Rich Beda,Creative Artists Agency,override:accuracy,2026-06
Taurean Prince,Dave Spahn,Creative Artists Agency,override:accuracy,2026-06
Taurean Prince,Steve Heumann,Creative Artists Agency,override:accuracy,2026-06
Taurean Prince,Rich Beda,Creative Artists Agency,override:accuracy,2026-06
Terance Mann,Aaron Mintz,Creative Artists Agency,override:accuracy,2026-06
Terance Mann,Rich Beda,Creative Artists Agency,override:accuracy,2026-06
# Player representation changes (per 2025-26 contract reporting):
Bilal Coulibaly,Jelani Floyd,Wasserman,override:accuracy,2026-06
Ty Jerome,Mark Bartelstein,Priority Sports & Entertainment,override:accuracy,2026-06
Ty Jerome,Kieran Piller,Priority Sports & Entertainment,override:accuracy,2026-06
Isaiah Collier,Rich Paul,Klutch Sports Management,override:accuracy,2026-06
Caris LeVert,Mark Bartelstein,Priority Sports & Entertainment,override:accuracy,2026-06
Davion Mitchell,Josh Beauregard-Bell,Wasserman,override:accuracy,2026-06
Tre Jones,Kevin Bradbury,Lift Sports Management,override:accuracy,2026-06
# Agency-name fixes / fills:
Noah Penda,Francois Nyam,360 Agency,override:accuracy,2026-06
Haywood Highsmith,Jerry Dianis,Team Entertainment,override:accuracy,2026-06
# medium confidence:
Jaden Hardy,Rich Paul,Klutch Sports Management,override:accuracy-med,2026-06
# Jaylon Tyson: agents (Faison/Gray) confirmed; kept HoopsHype's "Valor Sports &
# Entertainment" spelling over the verifier's medium-confidence "Valor Sports Agency".
